line_number,line_text,speaker,norm_speaker,eng_speaker
210,καὶ ζῶν ὁμοίως ἐξ ἐμοῦ τιμήσεται.,Κρέων,Κρεων,Krewn
211,"σοὶ ταῦτʼ ἀρέσκει, παῖ Μενοικέως Κρέον,",Χορός,Χορος,Xoros
212,τὸν τῇδε δύσνουν κἀς τὸν εὐμενῆ πόλει·,Χορός,Χορος,Xoros
213,νόμῳ δὲ χρῆσθαι παντί που πάρεστί σοι,Χορός,Χορος,Xoros
214,καὶ τῶν θανόντων χὠπόσοι ζῶμεν πέρι.,Χορός,Χορος,Xoros
215,ὡς ἂν σκοποὶ νῦν εἶτε τῶν εἰρημένων.,Κρέων,Κρεων,Krewn
216,νεωτέρῳ τῳ τοῦτο βαστάζειν πρόθες.,Χορός,Χορος,Xoros
217,ἀλλʼ εἴσʼ ἕτοιμοι τοῦ νεκροῦ γʼ ἐπίσκοποι.,Κρέων,Κρεων,Krewn
218,τί δῆτʼ ἂν ἄλλο τοῦτʼ ἐπεντέλλοις ἔτι;,Χορός,Χορος,Xoros
219,τὸ μὴ ʼπιχωρεῖν τοῖς ἀπιστοῦσιν τάδε.,Κρέων,Κρεων,Krewn
220,οὔκ ἔστιν οὕτω μῶρος ὃς θανεῖν ἐρᾷ.,Χορός,Χορος,Xoros
221,"καὶ μὴν ὁ μισθός γʼ, οὗτος· ἀλλʼ ὑπʼ ἐλπίδων",Κρέων,Κρεων,Krewn
222,ἄνδρας τὸ κέρδος πολλάκις διώλεσεν.,Κρέων,Κρεων,Krewn
223,"ἄναξ, ἐρῶ μὲν οὐχ ὅπως τάχους ὕπο",Φύλαξ,Φυλαξ,Fulac
224,δύσπνους ἱκάνω κοῦφον ἐξάρας πόδα.,Φύλαξ,Φυλαξ,Fulac
225,"πολλὰς γὰρ ἔσχον φροντίδων ἐπιστάσεις,",Φύλαξ,Φυλαξ,Fulac
226,ὁδοῖς κυκλῶν ἐμαυτὸν εἰς ἀναστροφήν·,Φύλαξ,Φυλαξ,Fulac
227,ψυχὴ γὰρ ηὔδα πολλά μοι μυθουμένη·,Φύλαξ,Φυλαξ,Fulac
228,"τάλας, τί χωρεῖς οἷ μολὼν δώσεις δίκην;",Φύλαξ,Φυλαξ,Fulac
229,"τλήμων, μενεῖς αὖ; κεἰ τάδʼ εἴσεται Κρέων",Φύλαξ,Φυλαξ,Fulac
230,ἄλλου παρʼ ἀνδρός; πῶς σὺ δῆτʼ οὐκ ἀλγύνει;,Φύλαξ,Φυλαξ,Fulac
231,τοιαῦθʼ ἑλίσσων ἤνυτον σχολῇ βραδύς.,Φύλαξ,Φυλαξ,Fulac
232,χοὔτως ὁδὸς βραχεῖα γίγνεται μακρά.,Φύλαξ,Φυλαξ,Fulac
233,τέλος γε μέντοι δεῦρʼ ἐνίκησεν μολεῖν,Φύλαξ,Φυλαξ,Fulac
234,"σοί. κεἰ τὸ μηδὲν ἐξερῶ, φράσω δʼ ὅμως·",Φύλαξ,Φυλαξ,Fulac
235,"τῆς ἐλπίδος γὰρ ἔρχομαι δεδραγμένος,",Φύλαξ,Φυλαξ,Fulac
236,τὸ μὴ παθεῖν ἂν ἄλλο πλὴν τὸ μόρσιμον.,Φύλαξ,Φυλαξ,Fulac
237,τί δʼ ἐστὶν ἀνθʼ οὗ τήνδʼ ἔχεις ἀθυμίαν;,Κρέων,Κρεων,Krewn
238,φράσαι θέλω σοι πρῶτα τἀμαυτοῦ· τὸ γὰρ,Φύλαξ,Φυλαξ,Fulac
239,"πρᾶγμʼ οὔτʼ ἔδρασʼ οὔτʼ εἶδον ὅστις ἦν ὁ δρῶν,",Φύλαξ,Φυλαξ,Fulac
240,οὐδʼ ἂν δικαίως ἐς κακὸν πέσοιμί τι.,Φύλαξ,Φυλαξ,Fulac
