lemma_id,headword
318760,pa/mflektos
262722,a)/lektros
127957,lwbhth/r
63427,knw/dwn
236714,u(perdei/dw
230104,pare/stios
364322,a)nwfe/lhtos
256354,e)/gklhros
347659,a)nu/mfeutos
147078,denna/zw
115055,e)kpe/lei
113561,a)rta/nh
390069,u(perpo/ntios
147229,summa/rtus
111817,podhgo/s
78124,bai/nw
95909,a)pata/w
124949,*qau/mas
102377,trixa/s
40609,e)pei/
111323,ste/rhsis
158499,despo/tis
250660,pannu/xios
43152,e)kei=
152461,pro/sqen
10522,e)c
148162,e)gklei/w
73835,te/ggw
29940,pu=r
101501,e)kto/s
111142,a)/llh|
70118,fu/sis
114489,*dh=los
106637,tuflo/w
49299,si=gos
141624,se/bomai
98049,fqe/gma
185554,kaqestw=ta
137658,oi)=stros
136368,loxage/w
71190,yoge/w
61409,fono/s
71734,kalo/s
51387,bou=s
205835,e)/ntimos
81617,fa/tis
103489,kenta/w
229713,ei)sakou/w
138261,a)qume/w
61578,o)/mma
71811,time/w
100701,a)qre/w
70588,patria/
60513,dama/w
89915,kente/w
113336,pi/mprhmi
119473,pimpla/w
71328,phgo/s
155079,a)moibo/s
187145,e)nnuxeu/w
227332,lasiau/xhn
184549,busso/qen
159591,neo/tomos
210258,katakuro/w
118281,die/rpw
158864,moiri/dios
260067,e)cempola/w
288488,a)poplh/ssw
200710,e)pinwma/w
155380,a)fanda/nw
243479,u(ph/nemos
175818,e)po/yios
200013,protarbe/w
111444,neospa/s
353061,pa/gklaustos
236282,kaqagni/zw
324236,megalw/numos
28613,fu/s
69659,*qh/ra
213432,e)piskope/w
128917,a)nia/omai
21590,bi/a
129481,frou=dos
121402,gerai/rw
150845,li/ssomai
67499,a)ne/w
27981,pa=s
25720,mh/n
154970,*xei/rwn
81833,mh=nis
76188,ste/gw
103825,*)=isos
136428,pa/reimi
154943,a)/fetos
145049,sfa/gion
125251,stra/ptw
102699,sfa/gios
184593,kapno/omai
120105,qe/rmos
141941,ei)ka/zw
158399,a)peile/w
148789,eu)menh/s
87511,shmei/a
134482,qanato/w
110313,e)/rgon
202499,pa/ndhmos
98128,a)gkw/n
359969,diaskeda/nnumi
236287,u(me/naios
76370,ple/os
104476,dokeu/s
73688,*(/ulh
82282,keu/qw
228660,prosfile/w
195293,e)kboleu/s
188182,au)/leios
178850,patria/zw
69988,skia/w
45619,e)/cw
73084,ptw=ma
78283,o)pto/s
178065,kulinde/w
148551,kuli/ndw
305650,katenai/romai
171023,o)cu/xolos
120148,ste/roy
58887,khki/s
151369,e)cauxe/w
115583,tumbeu/w
307010,liqo/strwtos
172980,o)nh/simos
50296,me/dw
185763,a)/parnos
195532,a)potru/w
157366,kteri/zw
307338,potini/ssomai
200355,a(/mippos
108815,klitu/s
398507,au)to/premnos
116898,e)/nanta
42834,dokw/
25579,tote/
117092,pari/hmi
213821,e)/mpuros
218475,a)na/statos
211687,meta/stasis
85567,ge/lws
139834,xalkeu/s
131517,e)xe/ths
103725,krate/w
69858,kth=ma
113508,oi)keio/w
34877,r(o/a
105816,a)/rdhn
33558,r(oh/
192658,u(/parcis
117438,me/rimna
28467,to/te
150407,a)/gnumi
119309,pu/rgos
86552,i)/sxw
142876,*xru/shs
217993,speira/omai
110295,mesto/w
116431,leu/ssw
151306,kua/neos
113697,h(/sswn
45433,mei/s
131234,di/kaios
114219,skia/zw
58032,li/zw
184014,potai/nios
305243,polukth/mwn
249709,perifradh/s
62536,la/lhma
166559,a)ntai=os
64656,ei)/bw
272302,xalko/detos
294346,parastei/xw
157286,fu/cimos
46229,genea/
129043,maqhth/s
84468,o)isto/s
65861,u(la/w
177802,eu)bouli/a
108613,qanata/w
249302,sumfora/zw
75856,a)/ter
139592,melea/zw
113961,loxago/s
30346,pw=s
20131,pws
62145,logo/w
58111,poqen
77701,po/qen
108252,a)e/kwn
114430,dika/zw
112781,fro/nis
64594,e)/nqen
102447,ptero/n
156347,merimna/w
187290,a)/rkesis
168787,katarre/w
233662,u(perbasi/a
282614,u(pektre/xw
